사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2020-12,1호선,1,서울역,"842,346","797,546",2021-01-03 09:36:40
2020-12,1호선,10,동묘앞,"208,719","214,534",2021-01-03 09:36:40
2020-12,1호선,2,시청,"429,145","423,621",2021-01-03 09:36:40
2020-12,1호선,3,종각,"667,792","642,037",2021-01-03 09:36:40
2020-12,1호선,4,종로3가,"493,106","450,421",2021-01-03 09:36:40
2020-12,1호선,5,종로5가,"465,339","462,277",2021-01-03 09:36:40
2020-12,1호선,6,동대문,"257,941","246,412",2021-01-03 09:36:40
2020-12,1호선,7,신설동,"309,534","304,279",2021-01-03 09:36:40
2020-12,1호선,8,제기동,"386,051","395,737",2021-01-03 09:36:40
2020-12,1호선,9,청량리(서울시립대입구),"464,654","464,949",2021-01-03 09:36:40
2020-12,2호선,11,시청,"463,728","445,131",2021-01-03 09:36:40
2020-12,2호선,12,을지로입구,"810,382","813,339",2021-01-03 09:36:40
2020-12,2호선,13,을지로3가,"412,714","405,805",2021-01-03 09:36:40
2020-12,2호선,14,을지로4가,"284,176","278,093",2021-01-03 09:36:40
2020-12,2호선,15,동대문역사문화공원(DDP),"251,261","277,576",2021-01-03 09:36:40
2020-12,2호선,16,신당,"307,401","316,909",2021-01-03 09:36:40
2020-12,2호선,17,상왕십리,"297,608","290,623",2021-01-03 09:36:40
2020-12,2호선,18,왕십리(성동구청),"326,649","263,814",2021-01-03 09:36:40
2020-12,2호선,19,한양대,"156,177","160,093",2021-01-03 09:36:40
2020-12,2호선,20,뚝섬,"413,585","444,755",2021-01-03 09:36:40
2020-12,2호선,21,성수,"687,363","749,676",2021-01-03 09:36:40
2020-12,2호선,22,건대입구,"691,472","739,873",2021-01-03 09:36:40
2020-12,2호선,23,구의(광진구청),"513,266","509,643",2021-01-03 09:36:40
2020-12,2호선,24,강변(동서울터미널),"635,066","639,974",2021-01-03 09:36:40
2020-12,2호선,25,잠실나루,"290,834","282,647",2021-01-03 09:36:40
2020-12,2호선,26,잠실(송파구청),"1,340,632","1,328,801",2021-01-03 09:36:40
2020-12,2호선,27,잠실새내,"419,767","420,816",2021-01-03 09:36:40
2020-12,2호선,28,종합운동장,"137,793","148,841",2021-01-03 09:36:40
2020-12,2호선,29,삼성(무역센터),"1,015,280","1,018,308",2021-01-03 09:36:40
2020-12,2호선,30,선릉,"1,142,441","1,016,897",2021-01-03 09:36:40
2020-12,2호선,31,역삼,"1,003,598","1,078,641",2021-01-03 09:36:40
2020-12,2호선,32,강남,"1,607,275","1,560,608",2021-01-03 09:36:40
2020-12,2호선,33,교대(법원.검찰청),"683,119","757,350",2021-01-03 09:36:40
2020-12,2호선,34,서초,"439,405","431,482",2021-01-03 09:36:40
2020-12,2호선,35,방배,"344,615","357,622",2021-01-03 09:36:40
2020-12,2호선,36,사당,"745,970","810,868",2021-01-03 09:36:40
2020-12,2호선,37,낙성대(강감찬),"597,690","580,917",2021-01-03 09:36:40
2020-12,2호선,38,서울대입구(관악구청),"1,017,581","990,535",2021-01-03 09:36:40
2020-12,2호선,39,봉천,"537,040","504,123",2021-01-03 09:36:40
2020-12,2호선,40,신림,"1,419,139","1,380,788",2021-01-03 09:36:40
2020-12,2호선,41,신대방,"594,547","581,841",2021-01-03 09:36:40
2020-12,2호선,42,구로디지털단지,"1,293,506","1,304,647",2021-01-03 09:36:40
2020-12,2호선,43,대림(구로구청),"565,816","580,223",2021-01-03 09:36:40
2020-12,2호선,44,신도림,"1,057,418","1,026,968",2021-01-03 09:36:40
2020-12,2호선,45,문래,"437,725","445,873",2021-01-03 09:36:40
2020-12,2호선,46,영등포구청,"496,930","502,448",2021-01-03 09:36:40
2020-12,2호선,47,당산,"393,709","454,557",2021-01-03 09:36:40
2020-12,2호선,48,합정,"607,379","630,710",2021-01-03 09:36:40
2020-12,2호선,49,홍대입구,"958,044","987,861",2021-01-03 09:36:40
2020-12,2호선,50,신촌,"663,994","679,563",2021-01-03 09:36:40
2020-12,2호선,51,이대,"252,745","259,609",2021-01-03 09:36:40
2020-12,2호선,52,아현,"218,012","212,963",2021-01-03 09:36:40
2020-12,2호선,53,충정로(경기대입구),"213,036","222,253",2021-01-03 09:36:40
2020-12,2호선,54,용답,"58,665","57,964",2021-01-03 09:36:40
2020-12,2호선,55,신답,"33,690","38,933",2021-01-03 09:36:40
2020-12,2호선,56,신설동,"75,652","74,985",2021-01-03 09:36:40
2020-12,2호선,57,도림천,"30,252","31,663",2021-01-03 09:36:40
2020-12,2호선,58,양천구청,"140,273","150,876",2021-01-03 09:36:40
2020-12,2호선,59,신정네거리,"213,162","222,333",2021-01-03 09:36:40
2020-12,2호선,60,용두(동대문구청),"52,417","54,922",2021-01-03 09:36:40
2020-12,3호선,61,지축,"70,286","69,508",2021-01-03 09:36:40
2020-12,3호선,62,구파발,"441,837","420,666",2021-01-03 09:36:40
2020-12,3호선,63,연신내,"839,605","790,442",2021-01-03 09:36:40
2020-12,3호선,64,불광,"364,371","393,678",2021-01-03 09:36:40
2020-12,3호선,65,녹번,"324,029","298,651",2021-01-03 09:36:40
2020-12,3호선,66,홍제,"379,242","367,220",2021-01-03 09:36:40
2020-12,3호선,67,무악재,"83,876","85,997",2021-01-03 09:36:40
