날짜,최저기온(℃),최고기온(℃)
2020-01-01,-6.5,0.3
2020-01-02,-0.7,3.8
2020-01-03,-3.4,4.6
2020-01-04,-2.8,6.1
2020-01-05,-3.2,6.6
2020-01-06,0.6,4.6
2020-01-07,4.2,7.7
2020-01-08,-0.4,8.9
2020-01-09,-3.1,2
2020-01-10,-4.3,4.2
2020-01-11,-2.6,3.9
2020-01-12,-3.5,2.8
2020-01-13,-4.7,0.2
2020-01-14,-5.7,2.6
2020-01-15,-6.4,2.2
2020-01-16,-5.5,3.2
2020-01-17,-4.8,4.9
2020-01-18,-4.1,5.9
2020-01-19,-0.4,5.3
2020-01-20,-3.3,5.5
2020-01-21,-5.6,5.5
2020-01-22,-0.1,7.8
2020-01-23,0,9.9
2020-01-24,-1.3,7.4
2020-01-25,0.6,8.8
2020-01-26,-0.2,11.9
2020-01-27,4.8,7.5
2020-01-28,4.3,9.9
2020-01-29,3.2,9.6
2020-01-30,1.4,10.4
2020-01-31,1.4,8.9
2020-02-01,-1.2,7.6
2020-02-02,-2.1,5.3
2020-02-03,-2.9,3
2020-02-04,-6,3.9
2020-02-05,-11,-4.9
2020-02-06,-11.8,0.4
2020-02-07,-7.2,2.2
2020-02-08,-2.3,3.7
2020-02-09,-5.6,4.1
2020-02-10,-0.7,9.6
2020-02-11,-0.5,14.6
2020-02-12,6.5,8.2
2020-02-13,4.9,8.7
2020-02-14,3.2,14.7
2020-02-15,6.2,15.6
2020-02-16,-4.3,7.7
2020-02-17,-7.1,-3.9
2020-02-18,-8.3,1.3
2020-02-19,-4.4,6.4
2020-02-20,-0.6,10.8
2020-02-21,2.1,10.9
2020-02-22,0,7.9
2020-02-23,-2.5,8
2020-02-24,0.8,12.2
2020-02-25,4.7,9.4
2020-02-26,2.8,10.4
2020-02-27,1.3,12.5
2020-02-28,3.6,5.9
2020-02-29,4.5,13
2020-03-01,3.2,10.1
2020-03-02,0,7.6
2020-03-03,0.3,10.5
2020-03-04,-1.3,4.6
2020-03-05,-2.8,6.3
2020-03-06,-2.5,10.1
2020-03-07,1.3,14.2
2020-03-08,2.3,16.9
2020-03-09,4.8,17.6
2020-03-10,3.2,10.8
2020-03-11,0,8.3
2020-03-12,0.2,13.3
2020-03-13,-0.1,8.7
2020-03-14,-2.7,8.6
2020-03-15,0.2,8.5
2020-03-16,-2.1,9.1
2020-03-17,3.1,12.3
2020-03-18,2.7,17
2020-03-19,5.8,12.1
2020-03-20,3.1,14
2020-03-21,7.9,19.5
2020-03-22,6.1,16.5
2020-03-23,5.4,17
2020-03-24,5.3,17.9
2020-03-25,6.1,19.2
2020-03-26,8.1,20.6
2020-03-27,6.7,15.8
2020-03-28,4.5,12.8
2020-03-29,1.3,16.1
2020-03-30,4.3,16.9
2020-03-31,4.7,18.6
2020-04-01,6,17.4
2020-04-02,3.4,15.5
2020-04-03,5.3,16.3
2020-04-04,5,13.3
2020-04-05,1.9,13.7
2020-04-06,2.9,16.1
2020-04-07,6,16.8
2020-04-08,5.2,14.2
2020-04-09,4.3,14.7
2020-04-10,5.8,16.8
2020-04-11,6.2,16
2020-04-12,4.4,15.6
2020-04-13,4.3,20.4
2020-04-14,7.6,19.6
2020-04-15,7.2,20.2
2020-04-16,8.9,23.8
2020-04-17,10.4,15.4
2020-04-18,8.5,19.6
2020-04-19,9.5,15.5
2020-04-20,7.6,13.1
2020-04-21,4.8,10.4
2020-04-22,4.1,8.3
2020-04-23,2.9,12.8
2020-04-24,4.1,14.3
2020-04-25,9.9,17.1
2020-04-26,6.8,19
2020-04-27,8.7,18.3
2020-04-28,7.8,19.9
2020-04-29,9.3,21
2020-04-30,9.3,23.4
2020-05-01,16.4,26.2
2020-05-02,18,23.9
2020-05-03,17,27.4
2020-05-04,14.8,25.3
2020-05-05,13.1,19.3
2020-05-06,11.1,27.6
2020-05-07,14.9,26.5
2020-05-08,14.3,27.3
2020-05-09,12.7,16.8
2020-05-10,12.8,16.6
2020-05-11,12.4,22
2020-05-12,10.5,18.9
